Test: 20230616.v3alpha01.piControl.chrysalis (1-100)
Ref: 20230224.v3atm_v21.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),1.36,1.36
Elevated Emission (Tg/yr),1.71,1.71
Sink (Tg/yr),3.05,3.05
Dry Deposition (Tg/yr),1.04,1.20
Wet Deposition (Tg/yr),2.01,1.85
Burden (Tg),0.05,0.06
Lifetime (Days),6.44,7.02

Dust
Surface Emission (Tg/yr),3560.14,3890.77
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),3534.72,3865.89
Dry Deposition (Tg/yr),2750.22,2985.90
Wet Deposition (Tg/yr),784.50,879.99
Burden (Tg),19.82,21.28
Lifetime (Days),2.05,2.01

Marine Organic Matter
Surface Emission (Tg/yr),19.66,19.85
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),19.75,19.94
Dry Deposition (Tg/yr),4.81,4.83
Wet Deposition (Tg/yr),14.94,15.12
Burden (Tg),0.10,0.10
Lifetime (Days),1.88,1.84

Sea Salt
Surface Emission (Tg/yr),2162.76,2182.05
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2178.26,2197.88
Dry Deposition (Tg/yr),985.22,991.54
Wet Deposition (Tg/yr),1193.04,1206.34
Burden (Tg),5.46,5.42
Lifetime (Days),0.91,0.90

Primary Organic Matter
Surface Emission (Tg/yr),9.44,9.44
Elevated Emission (Tg/yr),17.42,17.42
Sink (Tg/yr),26.56,26.55
Dry Deposition (Tg/yr),8.71,10.08
Wet Deposition (Tg/yr),17.85,16.47
Burden (Tg),0.47,0.52
Lifetime (Days),6.48,7.14

Sulfate
Surface Emission (Tg/yr),0.07,0.07
Elevated Emission (Tg/yr),1.28,1.28
Sink (Tg/yr),44.27,38.21
Dry Deposition (Tg/yr),9.63,8.44
Wet Deposition (Tg/yr),34.64,29.77
Burden (Tg),1.40,0.57
Lifetime (Days),11.58,5.47

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),110.59,77.09
Dry Deposition (Tg/yr),24.23,13.33
Wet Deposition (Tg/yr),86.35,63.77
Burden (Tg),2.20,1.84
Lifetime (Days),7.26,8.71

