Test: 20230616.v3alpha01.piControl.chrysalis (1-100)
Ref: 20230224.v3atm_v21.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.66,0.66
Elevated Emission (Tg/yr),2.08,2.08
Sink (Tg/yr),2.65,2.65
Dry Deposition (Tg/yr),0.76,0.81
Wet Deposition (Tg/yr),1.89,1.84
Burden (Tg),0.05,0.06
Lifetime (Days),7.30,7.74

Dust
Surface Emission (Tg/yr),4541.25,4926.45
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),4594.86,4988.40
Dry Deposition (Tg/yr),3058.22,3314.15
Wet Deposition (Tg/yr),1536.64,1674.25
Burden (Tg),43.54,46.59
Lifetime (Days),3.46,3.41

Marine Organic Matter
Surface Emission (Tg/yr),12.47,12.78
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),12.57,12.87
Dry Deposition (Tg/yr),3.03,3.10
Wet Deposition (Tg/yr),9.53,9.77
Burden (Tg),0.06,0.06
Lifetime (Days),1.81,1.77

Sea Salt
Surface Emission (Tg/yr),2387.02,2400.01
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2402.08,2414.91
Dry Deposition (Tg/yr),1064.78,1069.51
Wet Deposition (Tg/yr),1337.31,1345.40
Burden (Tg),5.81,5.78
Lifetime (Days),0.88,0.87

Primary Organic Matter
Surface Emission (Tg/yr),3.83,3.83
Elevated Emission (Tg/yr),28.61,28.61
Sink (Tg/yr),31.49,31.50
Dry Deposition (Tg/yr),8.80,9.47
Wet Deposition (Tg/yr),22.69,22.03
Burden (Tg),0.60,0.64
Lifetime (Days),6.92,7.37

Sulfate
Surface Emission (Tg/yr),0.03,0.03
Elevated Emission (Tg/yr),1.30,1.30
Sink (Tg/yr),39.87,34.68
Dry Deposition (Tg/yr),9.45,8.30
Wet Deposition (Tg/yr),30.42,26.37
Burden (Tg),1.39,0.59
Lifetime (Days),12.69,6.17

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),128.77,92.52
Dry Deposition (Tg/yr),28.47,17.96
Wet Deposition (Tg/yr),100.30,74.56
Burden (Tg),2.42,2.10
Lifetime (Days),6.85,8.30

