Test: 20230622.v3alpha02.piControl.chrysalis (1-100)
Ref: 20230616.v3alpha01.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.82,0.82
Elevated Emission (Tg/yr),1.32,1.32
Sink (Tg/yr),2.21,2.21
Dry Deposition (Tg/yr),0.69,0.70
Wet Deposition (Tg/yr),1.51,1.51
Burden (Tg),0.05,0.05
Lifetime (Days),7.52,7.68

Dust
Surface Emission (Tg/yr),3021.89,3101.16
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),3107.57,3185.16
Dry Deposition (Tg/yr),2203.56,2270.66
Wet Deposition (Tg/yr),904.01,914.51
Burden (Tg),24.75,25.50
Lifetime (Days),2.91,2.92

Marine Organic Matter
Surface Emission (Tg/yr),14.49,14.08
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),14.52,14.09
Dry Deposition (Tg/yr),3.37,3.31
Wet Deposition (Tg/yr),11.15,10.78
Burden (Tg),0.07,0.07
Lifetime (Days),1.71,1.91

Sea Salt
Surface Emission (Tg/yr),2233.33,2208.28
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2250.61,2225.13
Dry Deposition (Tg/yr),1014.52,1020.18
Wet Deposition (Tg/yr),1236.09,1204.95
Burden (Tg),5.21,5.56
Lifetime (Days),0.84,0.91

Primary Organic Matter
Surface Emission (Tg/yr),5.20,5.20
Elevated Emission (Tg/yr),14.25,14.25
Sink (Tg/yr),20.47,20.49
Dry Deposition (Tg/yr),6.25,6.29
Wet Deposition (Tg/yr),14.22,14.21
Burden (Tg),0.41,0.42
Lifetime (Days),7.30,7.46

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.25,1.25
Sink (Tg/yr),40.20,41.43
Dry Deposition (Tg/yr),9.41,9.63
Wet Deposition (Tg/yr),30.79,31.81
Burden (Tg),1.35,1.43
Lifetime (Days),12.27,12.57

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),89.30,90.41
Dry Deposition (Tg/yr),19.16,19.73
Wet Deposition (Tg/yr),70.14,70.68
Burden (Tg),1.88,1.91
Lifetime (Days),7.67,7.72

