Test: 20231023.v3alpha04-L80QBO.trigrid.piControl.chrysalis (1-50)
Ref: 20230924.v3alpha04_trigrid.piControl.chrysalis (1-50)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.66,0.66
Elevated Emission (Tg/yr),2.08,2.08
Sink (Tg/yr),2.66,2.66
Dry Deposition (Tg/yr),0.70,0.70
Wet Deposition (Tg/yr),1.95,1.95
Burden (Tg),0.05,0.05
Lifetime (Days),6.23,6.25

Dust
Surface Emission (Tg/yr),5110.46,5098.82
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),5172.06,5162.03
Dry Deposition (Tg/yr),3354.51,3348.85
Wet Deposition (Tg/yr),1817.55,1813.18
Burden (Tg),46.38,46.16
Lifetime (Days),3.27,3.26

Marine Organic Matter
Surface Emission (Tg/yr),12.86,12.89
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),12.97,13.01
Dry Deposition (Tg/yr),3.11,3.12
Wet Deposition (Tg/yr),9.85,9.89
Burden (Tg),0.06,0.06
Lifetime (Days),1.57,1.57

Sea Salt
Surface Emission (Tg/yr),2404.84,2391.06
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2420.46,2407.22
Dry Deposition (Tg/yr),1054.14,1047.78
Wet Deposition (Tg/yr),1366.33,1359.44
Burden (Tg),5.31,5.28
Lifetime (Days),0.80,0.80

Primary Organic Matter
Surface Emission (Tg/yr),3.83,3.83
Elevated Emission (Tg/yr),28.61,28.61
Sink (Tg/yr),31.54,31.52
Dry Deposition (Tg/yr),8.21,8.19
Wet Deposition (Tg/yr),23.34,23.33
Burden (Tg),0.52,0.52
Lifetime (Days),6.01,6.02

Sulfate
Surface Emission (Tg/yr),0.03,0.03
Elevated Emission (Tg/yr),1.30,1.30
Sink (Tg/yr),60.19,60.52
Dry Deposition (Tg/yr),14.51,14.60
Wet Deposition (Tg/yr),45.68,45.91
Burden (Tg),1.58,1.60
Lifetime (Days),9.56,9.67

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),110.28,110.29
Dry Deposition (Tg/yr),23.15,23.08
Wet Deposition (Tg/yr),87.13,87.21
Burden (Tg),2.21,2.20
Lifetime (Days),7.30,7.30

