Test: 20230918.v3alpha04_bigrid.piControl.chrysalis (1-100)
Ref: 20230914.v3alpha03_bigrid.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.66,0.66
Elevated Emission (Tg/yr),2.08,2.08
Sink (Tg/yr),2.66,2.66
Dry Deposition (Tg/yr),0.72,0.72
Wet Deposition (Tg/yr),1.94,1.94
Burden (Tg),0.05,0.05
Lifetime (Days),6.31,6.39

Dust
Surface Emission (Tg/yr),4572.43,4607.24
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),4625.52,4669.26
Dry Deposition (Tg/yr),3042.19,3069.42
Wet Deposition (Tg/yr),1583.33,1599.85
Burden (Tg),43.01,43.72
Lifetime (Days),3.39,3.42

Marine Organic Matter
Surface Emission (Tg/yr),12.84,12.58
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),12.95,12.68
Dry Deposition (Tg/yr),3.08,3.02
Wet Deposition (Tg/yr),9.87,9.66
Burden (Tg),0.06,0.06
Lifetime (Days),1.57,1.66

Sea Salt
Surface Emission (Tg/yr),2398.13,2386.41
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2413.66,2402.12
Dry Deposition (Tg/yr),1046.85,1048.28
Wet Deposition (Tg/yr),1366.82,1353.85
Burden (Tg),5.30,5.47
Lifetime (Days),0.80,0.83

Primary Organic Matter
Surface Emission (Tg/yr),3.83,3.83
Elevated Emission (Tg/yr),28.61,28.61
Sink (Tg/yr),31.53,31.53
Dry Deposition (Tg/yr),8.37,8.42
Wet Deposition (Tg/yr),23.16,23.11
Burden (Tg),0.52,0.53
Lifetime (Days),6.06,6.16

Sulfate
Surface Emission (Tg/yr),0.03,0.03
Elevated Emission (Tg/yr),1.30,1.30
Sink (Tg/yr),60.75,58.66
Dry Deposition (Tg/yr),14.69,14.05
Wet Deposition (Tg/yr),46.06,44.61
Burden (Tg),1.62,1.59
Lifetime (Days),9.70,9.88

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),110.18,110.72
Dry Deposition (Tg/yr),23.47,23.80
Wet Deposition (Tg/yr),86.72,86.92
Burden (Tg),2.22,2.24
Lifetime (Days),7.34,7.38

