Test: 20230918.v3alpha04_bigrid.piControl.chrysalis (1-100)
Ref: 20230914.v3alpha03_bigrid.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.92,0.92
Elevated Emission (Tg/yr),1.64,1.64
Sink (Tg/yr),2.55,2.55
Dry Deposition (Tg/yr),0.76,0.77
Wet Deposition (Tg/yr),1.79,1.78
Burden (Tg),0.04,0.04
Lifetime (Days),6.08,6.17

Dust
Surface Emission (Tg/yr),4050.28,4106.79
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),4071.31,4127.49
Dry Deposition (Tg/yr),2882.07,2933.57
Wet Deposition (Tg/yr),1189.24,1193.93
Burden (Tg),32.57,33.32
Lifetime (Days),2.92,2.95

Marine Organic Matter
Surface Emission (Tg/yr),15.37,15.17
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),15.49,15.28
Dry Deposition (Tg/yr),3.67,3.62
Wet Deposition (Tg/yr),11.82,11.66
Burden (Tg),0.07,0.07
Lifetime (Days),1.64,1.73

Sea Salt
Surface Emission (Tg/yr),2260.68,2249.49
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2277.33,2265.76
Dry Deposition (Tg/yr),1006.10,1008.07
Wet Deposition (Tg/yr),1271.23,1257.69
Burden (Tg),5.07,5.24
Lifetime (Days),0.81,0.84

Primary Organic Matter
Surface Emission (Tg/yr),5.94,5.94
Elevated Emission (Tg/yr),19.54,19.54
Sink (Tg/yr),25.40,25.40
Dry Deposition (Tg/yr),7.35,7.40
Wet Deposition (Tg/yr),18.05,18.00
Burden (Tg),0.42,0.43
Lifetime (Days),6.02,6.13

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.27,1.27
Sink (Tg/yr),65.56,63.18
Dry Deposition (Tg/yr),15.52,14.81
Wet Deposition (Tg/yr),50.04,48.37
Burden (Tg),1.67,1.63
Lifetime (Days),9.28,9.44

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),92.84,93.36
Dry Deposition (Tg/yr),20.06,20.36
Wet Deposition (Tg/yr),72.78,73.00
Burden (Tg),1.95,1.97
Lifetime (Days),7.66,7.70

