Test: 20230924.v3alpha04_trigrid.piControl.chrysalis (1-100)
Ref: 20230918.v3alpha04_bigrid.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.66,0.66
Elevated Emission (Tg/yr),2.08,2.08
Sink (Tg/yr),2.66,2.66
Dry Deposition (Tg/yr),0.70,0.72
Wet Deposition (Tg/yr),1.95,1.94
Burden (Tg),0.05,0.05
Lifetime (Days),6.25,6.31

Dust
Surface Emission (Tg/yr),5084.23,4572.43
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),5148.88,4625.52
Dry Deposition (Tg/yr),3336.74,3042.19
Wet Deposition (Tg/yr),1812.14,1583.33
Burden (Tg),46.08,43.01
Lifetime (Days),3.27,3.39

Marine Organic Matter
Surface Emission (Tg/yr),12.88,12.84
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),12.99,12.95
Dry Deposition (Tg/yr),3.11,3.08
Wet Deposition (Tg/yr),9.88,9.87
Burden (Tg),0.06,0.06
Lifetime (Days),1.57,1.57

Sea Salt
Surface Emission (Tg/yr),2396.70,2398.13
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2412.54,2413.66
Dry Deposition (Tg/yr),1049.21,1046.85
Wet Deposition (Tg/yr),1363.33,1366.82
Burden (Tg),5.28,5.30
Lifetime (Days),0.80,0.80

Primary Organic Matter
Surface Emission (Tg/yr),3.83,3.83
Elevated Emission (Tg/yr),28.61,28.61
Sink (Tg/yr),31.53,31.53
Dry Deposition (Tg/yr),8.20,8.37
Wet Deposition (Tg/yr),23.33,23.16
Burden (Tg),0.52,0.52
Lifetime (Days),6.02,6.06

Sulfate
Surface Emission (Tg/yr),0.03,0.03
Elevated Emission (Tg/yr),1.30,1.30
Sink (Tg/yr),60.50,60.75
Dry Deposition (Tg/yr),14.60,14.69
Wet Deposition (Tg/yr),45.91,46.06
Burden (Tg),1.60,1.62
Lifetime (Days),9.67,9.70

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),110.14,110.18
Dry Deposition (Tg/yr),23.06,23.47
Wet Deposition (Tg/yr),87.08,86.72
Burden (Tg),2.21,2.22
Lifetime (Days),7.31,7.34

