Test: 20230924.v3alpha04_trigrid.piControl.chrysalis (1-100)
Ref: 20230918.v3alpha04_bigrid.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.84,0.84
Elevated Emission (Tg/yr),1.45,1.45
Sink (Tg/yr),2.30,2.31
Dry Deposition (Tg/yr),0.69,0.70
Wet Deposition (Tg/yr),1.61,1.60
Burden (Tg),0.04,0.04
Lifetime (Days),5.86,5.84

Dust
Surface Emission (Tg/yr),5429.20,4927.08
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),5383.85,4887.36
Dry Deposition (Tg/yr),3795.81,3486.02
Wet Deposition (Tg/yr),1588.04,1401.34
Burden (Tg),45.47,42.13
Lifetime (Days),3.08,3.15

Marine Organic Matter
Surface Emission (Tg/yr),14.60,14.53
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),14.83,14.75
Dry Deposition (Tg/yr),3.42,3.40
Wet Deposition (Tg/yr),11.41,11.35
Burden (Tg),0.07,0.07
Lifetime (Days),1.65,1.65

Sea Salt
Surface Emission (Tg/yr),2244.32,2239.39
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2261.73,2256.34
Dry Deposition (Tg/yr),1001.68,998.63
Wet Deposition (Tg/yr),1260.06,1257.71
Burden (Tg),4.95,4.94
Lifetime (Days),0.80,0.80

Primary Organic Matter
Surface Emission (Tg/yr),5.35,5.35
Elevated Emission (Tg/yr),17.79,17.79
Sink (Tg/yr),23.01,23.02
Dry Deposition (Tg/yr),6.84,6.93
Wet Deposition (Tg/yr),16.17,16.10
Burden (Tg),0.37,0.37
Lifetime (Days),5.93,5.91

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.26,1.26
Sink (Tg/yr),65.47,65.88
Dry Deposition (Tg/yr),15.42,15.56
Wet Deposition (Tg/yr),50.04,50.31
Burden (Tg),1.67,1.67
Lifetime (Days),9.30,9.28

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),84.88,84.95
Dry Deposition (Tg/yr),19.62,19.74
Wet Deposition (Tg/yr),65.26,65.21
Burden (Tg),1.75,1.75
Lifetime (Days),7.51,7.52

