Test: 20230924.v3alpha04_trigrid.piControl.chrysalis (1-100)
Ref: 20230918.v3alpha04_bigrid.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.82,0.82
Elevated Emission (Tg/yr),1.32,1.32
Sink (Tg/yr),2.20,2.20
Dry Deposition (Tg/yr),0.66,0.67
Wet Deposition (Tg/yr),1.54,1.53
Burden (Tg),0.04,0.04
Lifetime (Days),6.60,6.66

Dust
Surface Emission (Tg/yr),3514.69,3092.01
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),3605.60,3179.81
Dry Deposition (Tg/yr),2485.73,2243.31
Wet Deposition (Tg/yr),1119.87,936.50
Burden (Tg),27.69,25.28
Lifetime (Days),2.80,2.90

Marine Organic Matter
Surface Emission (Tg/yr),14.47,14.33
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),14.50,14.36
Dry Deposition (Tg/yr),3.42,3.38
Wet Deposition (Tg/yr),11.07,10.98
Burden (Tg),0.07,0.07
Lifetime (Days),1.66,1.67

Sea Salt
Surface Emission (Tg/yr),2233.97,2223.08
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2251.50,2240.50
Dry Deposition (Tg/yr),1013.89,1005.35
Wet Deposition (Tg/yr),1237.61,1235.15
Burden (Tg),5.08,5.07
Lifetime (Days),0.82,0.83

Primary Organic Matter
Surface Emission (Tg/yr),5.20,5.20
Elevated Emission (Tg/yr),14.25,14.25
Sink (Tg/yr),20.43,20.43
Dry Deposition (Tg/yr),5.95,6.03
Wet Deposition (Tg/yr),14.48,14.40
Burden (Tg),0.36,0.37
Lifetime (Days),6.49,6.55

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.25,1.25
Sink (Tg/yr),65.10,65.40
Dry Deposition (Tg/yr),15.91,15.96
Wet Deposition (Tg/yr),49.19,49.44
Burden (Tg),1.68,1.69
Lifetime (Days),9.44,9.45

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),75.16,74.84
Dry Deposition (Tg/yr),15.66,15.70
Wet Deposition (Tg/yr),59.50,59.15
Burden (Tg),1.74,1.75
Lifetime (Days),8.45,8.55

