Test: 20230924.v3alpha04_trigrid.piControl.chrysalis (101-200)
Ref: 20230918.v3alpha04_bigrid.piControl.chrysalis (101-200)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.92,0.92
Elevated Emission (Tg/yr),1.64,1.64
Sink (Tg/yr),2.55,2.55
Dry Deposition (Tg/yr),0.75,0.76
Wet Deposition (Tg/yr),1.80,1.79
Burden (Tg),0.04,0.04
Lifetime (Days),6.05,6.09

Dust
Surface Emission (Tg/yr),4549.93,4055.26
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),4573.79,4076.29
Dry Deposition (Tg/yr),3191.63,2889.71
Wet Deposition (Tg/yr),1382.16,1186.59
Burden (Tg),35.77,32.65
Lifetime (Days),2.85,2.92

Marine Organic Matter
Surface Emission (Tg/yr),15.42,15.43
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),15.54,15.55
Dry Deposition (Tg/yr),3.70,3.68
Wet Deposition (Tg/yr),11.85,11.87
Burden (Tg),0.07,0.07
Lifetime (Days),1.64,1.64

Sea Salt
Surface Emission (Tg/yr),2266.73,2270.49
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2283.45,2287.25
Dry Deposition (Tg/yr),1010.08,1009.43
Wet Deposition (Tg/yr),1273.37,1277.82
Burden (Tg),5.08,5.09
Lifetime (Days),0.81,0.81

Primary Organic Matter
Surface Emission (Tg/yr),5.94,5.94
Elevated Emission (Tg/yr),19.54,19.54
Sink (Tg/yr),25.40,25.40
Dry Deposition (Tg/yr),7.25,7.36
Wet Deposition (Tg/yr),18.14,18.04
Burden (Tg),0.42,0.42
Lifetime (Days),5.99,6.04

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.27,1.27
Sink (Tg/yr),65.33,65.53
Dry Deposition (Tg/yr),15.47,15.52
Wet Deposition (Tg/yr),49.87,50.02
Burden (Tg),1.66,1.66
Lifetime (Days),9.26,9.25

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),92.93,92.75
Dry Deposition (Tg/yr),19.93,20.05
Wet Deposition (Tg/yr),73.01,72.71
Burden (Tg),1.94,1.95
Lifetime (Days),7.60,7.67

