Test: 20231012.v3alpha04_trigrid_bgc.piControl.chrysalis (1-100)
Ref: 20230924.v3alpha04_trigrid.piControl.chrysalis (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.84,0.84
Elevated Emission (Tg/yr),1.45,1.45
Sink (Tg/yr),2.30,2.30
Dry Deposition (Tg/yr),0.67,0.69
Wet Deposition (Tg/yr),1.63,1.61
Burden (Tg),0.04,0.04
Lifetime (Days),5.75,5.86

Dust
Surface Emission (Tg/yr),5848.96,5429.20
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),5796.89,5383.85
Dry Deposition (Tg/yr),4096.31,3795.81
Wet Deposition (Tg/yr),1700.58,1588.04
Burden (Tg),49.11,45.47
Lifetime (Days),3.09,3.08

Marine Organic Matter
Surface Emission (Tg/yr),14.67,14.60
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),14.89,14.83
Dry Deposition (Tg/yr),3.42,3.42
Wet Deposition (Tg/yr),11.46,11.41
Burden (Tg),0.07,0.07
Lifetime (Days),1.65,1.65

Sea Salt
Surface Emission (Tg/yr),2268.55,2244.32
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2285.40,2261.73
Dry Deposition (Tg/yr),1012.24,1001.68
Wet Deposition (Tg/yr),1273.17,1260.06
Burden (Tg),5.03,4.95
Lifetime (Days),0.80,0.80

Primary Organic Matter
Surface Emission (Tg/yr),5.35,5.35
Elevated Emission (Tg/yr),17.79,17.79
Sink (Tg/yr),23.03,23.01
Dry Deposition (Tg/yr),6.62,6.84
Wet Deposition (Tg/yr),16.41,16.17
Burden (Tg),0.36,0.37
Lifetime (Days),5.77,5.93

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.26,1.26
Sink (Tg/yr),65.79,65.47
Dry Deposition (Tg/yr),15.36,15.42
Wet Deposition (Tg/yr),50.44,50.04
Burden (Tg),1.67,1.67
Lifetime (Days),9.29,9.30

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),86.32,84.88
Dry Deposition (Tg/yr),19.58,19.62
Wet Deposition (Tg/yr),66.74,65.26
Burden (Tg),1.72,1.75
Lifetime (Days),7.27,7.51

