Test: v2.LR.piControl (1-100)
Ref: 20180129.DECKv1b_piControl.ne30_oEC.edison (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.82,0.82
Elevated Emission (Tg/yr),1.32,1.32
Sink (Tg/yr),2.24,2.20
Dry Deposition (Tg/yr),0.84,0.75
Wet Deposition (Tg/yr),1.39,1.45
Burden (Tg),0.05,0.04
Lifetime (Days),8.42,6.51

Dust
Surface Emission (Tg/yr),3674.16,3768.82
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),3764.88,3825.76
Dry Deposition (Tg/yr),3067.41,2973.86
Wet Deposition (Tg/yr),697.47,851.90
Burden (Tg),21.94,20.02
Lifetime (Days),2.13,1.91

Marine Organic Matter
Surface Emission (Tg/yr),16.13,23.02
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),16.19,22.91
Dry Deposition (Tg/yr),5.83,7.21
Wet Deposition (Tg/yr),10.36,15.70
Burden (Tg),0.11,0.08
Lifetime (Days),2.37,1.35

Sea Salt
Surface Emission (Tg/yr),2494.23,3576.91
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2513.32,3573.08
Dry Deposition (Tg/yr),1876.39,2494.44
Wet Deposition (Tg/yr),636.93,1078.64
Burden (Tg),5.55,5.02
Lifetime (Days),0.81,0.51

Primary Organic Matter
Surface Emission (Tg/yr),5.20,5.20
Elevated Emission (Tg/yr),14.25,14.30
Sink (Tg/yr),20.98,20.53
Dry Deposition (Tg/yr),7.51,6.62
Wet Deposition (Tg/yr),13.47,13.90
Burden (Tg),0.50,0.37
Lifetime (Days),8.61,6.60

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.25,1.26
Sink (Tg/yr),50.49,47.96
Dry Deposition (Tg/yr),9.84,7.77
Wet Deposition (Tg/yr),40.65,40.18
Burden (Tg),1.00,0.64
Lifetime (Days),7.25,4.89

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),60.31,59.67
Dry Deposition (Tg/yr),7.23,5.36
Wet Deposition (Tg/yr),53.08,54.31
Burden (Tg),2.57,1.85
Lifetime (Days),15.56,11.31

