Test: v2.LR.piControl (1-100)
Ref: 20180129.DECKv1b_piControl.ne30_oEC.edison (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.92,0.92
Elevated Emission (Tg/yr),1.64,1.64
Sink (Tg/yr),37771636.84,2.55
Dry Deposition (Tg/yr),37771635.29,0.90
Wet Deposition (Tg/yr),1.55,1.65
Burden (Tg),0.06,0.05
Lifetime (Days),0.00,6.46

Dust
Surface Emission (Tg/yr),4523.75,4870.41
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),142926823.21,4869.77
Dry Deposition (Tg/yr),142925971.80,3757.63
Wet Deposition (Tg/yr),851.40,1112.14
Burden (Tg),27.45,24.38
Lifetime (Days),0.00,1.83

Marine Organic Matter
Surface Emission (Tg/yr),17.15,24.38
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),87045137.48,24.33
Dry Deposition (Tg/yr),87045126.49,7.73
Wet Deposition (Tg/yr),10.99,16.60
Burden (Tg),0.11,0.09
Lifetime (Days),0.00,1.38

Sea Salt
Surface Emission (Tg/yr),2542.25,3614.96
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),643858915090083059377247118226173547872518144.00,3610.80
Dry Deposition (Tg/yr),643858915090083059377247118226173547872518144.00,2495.33
Wet Deposition (Tg/yr),656.34,1115.47
Burden (Tg),5.52,4.98
Lifetime (Days),0.00,0.50

Primary Organic Matter
Surface Emission (Tg/yr),3127290597.46,5.94
Elevated Emission (Tg/yr),19.54,19.55
Sink (Tg/yr),339577.41,25.37
Dry Deposition (Tg/yr),339561.39,8.41
Wet Deposition (Tg/yr),16.02,16.97
Burden (Tg),0.60,0.46
Lifetime (Days),0.00,6.67

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.27,1.28
Sink (Tg/yr),51.35,48.84
Dry Deposition (Tg/yr),10.25,8.00
Wet Deposition (Tg/yr),41.10,40.84
Burden (Tg),1.01,0.65
Lifetime (Days),7.17,4.87

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),61.69,61.72
Dry Deposition (Tg/yr),7.76,5.98
Wet Deposition (Tg/yr),53.93,55.74
Burden (Tg),2.56,1.86
Lifetime (Days),15.15,11.01

