Test: v2.LR.piControl (1-100)
Ref: 20180129.DECKv1b_piControl.ne30_oEC.edison (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),1.36,1.36
Elevated Emission (Tg/yr),1.71,1.71
Sink (Tg/yr),3.03,3.02
Dry Deposition (Tg/yr),1.30,1.18
Wet Deposition (Tg/yr),1.72,1.84
Burden (Tg),0.06,0.05
Lifetime (Days),7.38,6.23

Dust
Surface Emission (Tg/yr),3832.10,4261.13
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),3827.21,4234.13
Dry Deposition (Tg/yr),3283.84,3474.34
Wet Deposition (Tg/yr),543.37,759.79
Burden (Tg),15.83,16.10
Lifetime (Days),1.51,1.39

Marine Organic Matter
Surface Emission (Tg/yr),22.33,31.60
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),22.43,31.48
Dry Deposition (Tg/yr),8.37,10.37
Wet Deposition (Tg/yr),14.06,21.11
Burden (Tg),0.14,0.12
Lifetime (Days),2.29,1.39

Sea Salt
Surface Emission (Tg/yr),2496.49,3558.47
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2515.82,3554.45
Dry Deposition (Tg/yr),1848.53,2427.48
Wet Deposition (Tg/yr),667.29,1126.97
Burden (Tg),5.65,5.15
Lifetime (Days),0.82,0.53

Primary Organic Matter
Surface Emission (Tg/yr),9.44,9.44
Elevated Emission (Tg/yr),17.42,17.41
Sink (Tg/yr),26.30,26.30
Dry Deposition (Tg/yr),10.81,9.78
Wet Deposition (Tg/yr),15.49,16.52
Burden (Tg),0.56,0.47
Lifetime (Days),7.74,6.49

Sulfate
Surface Emission (Tg/yr),0.07,0.07
Elevated Emission (Tg/yr),1.28,1.29
Sink (Tg/yr),56.69,53.77
Dry Deposition (Tg/yr),10.73,8.33
Wet Deposition (Tg/yr),45.96,45.44
Burden (Tg),0.97,0.63
Lifetime (Days),6.26,4.26

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),51.99,51.69
Dry Deposition (Tg/yr),5.72,4.32
Wet Deposition (Tg/yr),46.27,47.37
Burden (Tg),2.28,1.68
Lifetime (Days),16.04,11.84

