Test: v2.LR.piControl (1-100)
Ref: 20180129.DECKv1b_piControl.ne30_oEC.edison (1-100)
 ,Test,Ref
Black Carbon
Surface Emission (Tg/yr),0.84,0.84
Elevated Emission (Tg/yr),1.45,1.45
Sink (Tg/yr),2.32,2.32
Dry Deposition (Tg/yr),0.92,0.83
Wet Deposition (Tg/yr),1.40,1.50
Burden (Tg),0.05,0.04
Lifetime (Days),8.04,6.24

Dust
Surface Emission (Tg/yr),5667.23,6102.50
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),5651.57,6089.06
Dry Deposition (Tg/yr),4594.55,4663.23
Wet Deposition (Tg/yr),1057.02,1425.83
Burden (Tg),31.27,28.53
Lifetime (Days),2.02,1.71

Marine Organic Matter
Surface Emission (Tg/yr),16.29,23.01
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),16.56,23.11
Dry Deposition (Tg/yr),5.88,7.11
Wet Deposition (Tg/yr),10.68,15.99
Burden (Tg),0.11,0.08
Lifetime (Days),2.37,1.32

Sea Salt
Surface Emission (Tg/yr),2536.87,3581.39
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),2556.93,3579.59
Dry Deposition (Tg/yr),1917.94,2482.22
Wet Deposition (Tg/yr),639.00,1097.37
Burden (Tg),5.43,4.83
Lifetime (Days),0.78,0.49

Primary Organic Matter
Surface Emission (Tg/yr),5.35,5.35
Elevated Emission (Tg/yr),17.79,17.78
Sink (Tg/yr),23.12,23.23
Dry Deposition (Tg/yr),8.70,7.83
Wet Deposition (Tg/yr),14.42,15.40
Burden (Tg),0.53,0.41
Lifetime (Days),8.34,6.44

Sulfate
Surface Emission (Tg/yr),0.04,0.04
Elevated Emission (Tg/yr),1.26,1.27
Sink (Tg/yr),51.46,49.52
Dry Deposition (Tg/yr),10.10,7.92
Wet Deposition (Tg/yr),41.37,41.60
Burden (Tg),0.99,0.64
Lifetime (Days),7.06,4.69

Secondary Organic Aerosol
Surface Emission (Tg/yr),0.00,0.00
Elevated Emission (Tg/yr),0.00,0.00
Sink (Tg/yr),55.93,56.29
Dry Deposition (Tg/yr),6.46,4.87
Wet Deposition (Tg/yr),49.47,51.42
Burden (Tg),2.39,1.75
Lifetime (Days),15.63,11.35

